"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $0/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0x4c456b68ccba7554dfbe8c400b8b54114bc4d8d4ae4874e10a1dde9ad2597f13","7000873","1576831324","12/20/2019 8:42:04 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","0","0","0","0.001197522","0","","","",""
"0xf525aca734fd8569c7c9d76126949916bcd8758ccc931b8ffb3f0fe873487fb7","7000877","1576831366","12/20/2019 8:42:46 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0.000000000000000321","0","0","0.000058699","0","","","",""
"0x696cd9512047fdd0bbf060057d779b0363e17d50363a024b96a1529f38cdbba4","7000880","1576831406","12/20/2019 8:43:26 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000088179","0","","","",""
"0xcaea4424c6938450230dac135de532a8ffe8ef0a5782e8cca1fa69457338a4cf","7000893","1576831605","12/20/2019 8:46:45 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000023767","0","","Error(0)","Reverted",""
"0x26c99814b58867499d6cf5e36239ce5f3a204b46ec72519d5d50e508ab9891a2","7000893","1576831605","12/20/2019 8:46:45 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000033723","0","","Error(0)","Reverted",""
"0xf17df356b63f241803e7d9371e472daf0dc8875bc7e29a82cbe8fe8c0e8a2421","7000898","1576831683","12/20/2019 8:48:03 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000073179","0","","","",""
"0xc2d1704797db66ced84540d541f80d65590e6313428e60e0d52bbf265aab471f","7000911","1576831884","12/20/2019 8:51:24 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000033723","0","","Error(0)","Reverted",""
"0xc9264f839ab357017a0d1d97b450fc3fc1bf023a8efd16789b2f77ebf696c216","7000921","1576831983","12/20/2019 8:53:03 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000033723","0","","Error(0)","Reverted",""
"0xac0893d1d757f6fadb7c67ab712bcb7dc843d2dcc9d6f4b0c970292db19c4a95","7000931","1576832059","12/20/2019 8:54:19 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xf7e02fad6f96ed14d0277edc3b862a8546ed91ce","","0","0","0","0.000073095","0","","","",""
